restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g10001637-d10002227,Le 147,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Haute-Vienne"", ""Saint-Jouvent""]",France,Nouvelle-Aquitaine,Haute-Vienne,Saint-Jouvent,"10 Maison Neuve, 87510 Saint-Jouvent France",45.961674,1.169131,Claimed,,#1 of 2 Restaurants in Saint-Jouvent,#1 of 2 places to eat in Saint-Jouvent,"Cheap Eats, French",€,,"Lunch, Dinner",French,,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",N,N,N,,,,,4.0,36.0,English,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.5,4.0,,
g10001637-d14975787,Le Saint Jouvent,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Haute-Vienne"", ""Saint-Jouvent""]",France,Nouvelle-Aquitaine,Haute-Vienne,Saint-Jouvent,"16 Place de l Eglise, 87510 Saint-Jouvent France",45.95704,1.20548,Unclaimed,,#2 of 2 Restaurants in Saint-Jouvent,#2 of 2 places to eat in Saint-Jouvent,Cheap Eats,€,,,,,,N,N,N,,,,,4.0,5.0,All languages,5.0,2.0,2.0,1.0,0.0,0.0,,,,,
g10002858-d4586832,Au Bout du Pont,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Berry"", ""Indre"", ""Rivarennes""]",France,Centre-Val de Loire,Berry,Rivarennes,"2 rue des Dames, 36800 Rivarennes France",46.635895,1.386133,Claimed,,#1 of 1 Restaurant in Rivarennes,#1 of 1 places to eat in Rivarennes,"Cheap Eats, French, European",€,,"Dinner, Lunch, Drinks","French, European",,"Reservations, Seating, Table Service, Wheelchair Accessible",N,N,N,,,,,5.0,13.0,English,4.0,3.0,1.0,0.0,0.0,0.0,,,,,
g10002986-d3510044,Le Relais de Naiade,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Correze"", ""Lacelle""]",France,Nouvelle-Aquitaine,Correze,Lacelle,"9 avenue Porte de la Correze 19170, 19170 Lacelle France",45.64261,1.82446,Claimed,,#1 of 1 Restaurant in Lacelle,#1 of 1 places to eat in Lacelle,"Cheap Eats, French",€,,"Lunch, Dinner",French,,"Reservations, Seating, Serves Alcohol, Table Service, Wheelchair Accessible",N,N,N,,,,,4.0,34.0,English,1.0,1.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g10022428-d9767191,Relais Du MontSeigne,"[""Europe"", ""France"", ""Occitanie"", ""Aveyron"", ""Saint-Laurent-de-Levezou""]",France,Occitanie,Aveyron,Saint-Laurent-de-Levezou,"route du Montseigne, 12620 Saint-Laurent-de-Levezou France",44.20886,2.96047,Unclaimed,,#1 of 1 Restaurant in Saint-Laurent-de-Levezou,#1 of 1 places to eat in Saint-Laurent-de-Levezou,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,"Reservations, Seating, Wheelchair Accessible, Table Service",N,N,N,,,,,4.5,11.0,All languages,11.0,4.0,7.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g10029260-d6605477,L'Auberge Du Vieux Crozet,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Loire"", ""Roanne"", ""Le Crozet""]",France,Auvergne-Rhone-Alpes,Loire,Le Crozet,"59 place du Puits ancienne adresse le Bourg renommée 59 place du Puits, 42310 Le Crozet, Roanne France",46.169823,3.855819,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#1 of 1 Restaurant in Le Crozet,#1 of 1 places to eat in Le Crozet,"Mid-range, French",€€-€€€,€14-€29,"Lunch, Dinner, Drinks",French,,,N,N,N,"{""Mon"": [""09:00-14:30""], ""Tue"": [""09:00-14:30"", ""19:00-21:30""], ""Wed"": [""09:00-14:30"", ""19:00-21:30""], ""Thu"": [""09:00-14:30"", ""19:00-21:30""], ""Fri"": [""09:00-14:30"", ""19:00-22:00""], ""Sat"": [""09:00-14:30"", ""19:00-22:00""], ""Sun"": [""09:00-16:00""]}",7.0,53.5,12.0,4.5,64.0,All languages,64.0,44.0,15.0,2.0,2.0,1.0,4.5,4.5,4.5,,
g10029907-d17781655,Cafe Restaurant NouLou,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Saint-Denis""]",France,Occitanie,Aude,Saint-Denis,"Place de l'Église, 30500 Saint-Denis France",44.233078,4.251449,Claimed,,#2 of 2 Restaurants in Saint-Denis,#2 of 2 places to eat in Saint-Denis,"Mid-range, French, European",€€-€€€,€8-€17,"Lunch, Dinner","French, European",,,N,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [""12:00-14:30"", ""18:30-22:00""], ""Thu"": [""12:00-14:30"", ""18:30-22:00""], ""Fri"": [""12:00-14:30"", ""18:30-22:00""], ""Sat"": [""12:00-14:30"", ""18:30-22:00""], ""Sun"": [""12:00-14:30"", ""18:30-22:00""]}",5.0,30.0,10.0,4.5,24.0,English,4.0,4.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g10029907-d8079764,L'entre 2,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Saint-Denis""]",France,Occitanie,Aude,Saint-Denis,"4 route de Saissac, 11310 Saint-Denis France",43.360023,2.219851,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#1 of 2 Restaurants in Saint-Denis,#1 of 2 places to eat in Saint-Denis,"Mid-range, French, European, Vegetarian Friendly",€€-€€€,€10-€35,,"French, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [], ""Tue"": [""10:00-14:00""], ""Wed"": [""10:00-14:00""], ""Thu"": [""10:00-14:00""], ""Fri"": [""10:00-14:00""], ""Sat"": [""10:00-14:00""], ""Sun"": [""10:00-14:00""]}",6.0,24.0,6.0,4.5,133.0,English,13.0,9.0,3.0,1.0,0.0,0.0,4.5,4.5,4.5,,
g10036850-d8414223,Noste Courtiu,"[""Europe"", ""France"", ""Occitanie"", ""Ariege"", ""Orgibet""]",France,Occitanie,Ariege,Orgibet,"route des Pyrenees, 09800 Orgibet France",42.934,0.936559,Claimed,,#1 of 1 Restaurant in Orgibet,#1 of 1 places to eat in Orgibet,"Mid-range, French, Cafe, Deli",€€-€€€,€12-€26,"Lunch, Dinner, Drinks","French, Cafe, Deli, Contemporary, Gastropub",,,N,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [""12:00-14:00""], ""Thu"": [""12:00-14:00""], ""Fri"": [""12:00-14:00"", ""19:00-21:00""], ""Sat"": [""19:00-21:00""], ""Sun"": [""12:00-14:00"", ""19:00-21:00""]}",5.0,14.0,7.0,5.0,39.0,English,2.0,2.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g10054961-d3387712,Chez Claudine,"[""Europe"", ""France"", ""Grand Est"", ""Vosges"", ""They-sous-Montfort""]",France,Grand Est,Vosges,They-sous-Montfort,"136 rue de la Petite They, 88800 They-sous-Montfort France",48.231495,5.973734,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#1 of 1 Restaurant in They-sous-Montfort,#1 of 1 places to eat in They-sous-Montfort,"Mid-range, French, European, Wine Bar",€€-€€€,€12-€30,"After-hours, Drinks, Lunch, Dinner, Brunch","French, European, Wine Bar",,,N,N,N,"{""Mon"": [], ""Tue"": [""09:00-16:00""], ""Wed"": [""09:00-16:00""], ""Thu"": [""09:00-21:00""], ""Fri"": [""09:00-21:00""], ""Sat"": [""16:45-23:45""], ""Sun"": [""09:00-17:00""]}",6.0,53.0,6.0,4.5,244.0,English,1.0,1.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,
